text,label,clean_text
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",0,house maid murderer coz man murder lt gt th january public holiday govt instituitions close include post office understand
Any pain on urination any thing else?,0,pain urination thing else
Lmao!nice 1,0,lmao nice 1
What time you thinkin of goin?,0,time thinkin goin
Full heat pa:-) i have applyed oil pa.,0,full heat pa apply oil pa
"Usf I guess, might as well take 1 car",0,usf guess might well take car
Why nothing. Ok anyway give me treat,0,nothing ok anyway give treat
Jay is snickering and tells me that x is totally fucking up the chords as we speak,0,jay snicker tell totally fuck chord speak
OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,0,ok waliking ard wan buy anything go ur house
Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,0,nope go home go pump petrol lor like go rain soon
"\URGENT! This is the 2nd attempt to contact U!U have WON å£1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxå£7. 50\""""",1,urgent 2nd attempt contact u 1000call 09071512432 b4 300603t csbcm4235wc1n3xx callcost150ppmmobilesvary max 50
What about this one then.,0,one
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,1,ur cash balance currently 500 pound maximize ur cash send cash 86688 150p msg cc 08708800282 hg suite342 2lands row w1j6hl
I am on the way to ur home,0,way ur home
Where are you?when wil you reach here?,0,wil reach
Ok i go change also...,0,ok go change also
when you and derek done with class?,0,derek do class
"Sir, i am waiting for your call.",0,sir wait call
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,forget tell want need crave love sweet arabian steed mmmmmm yummy
Pls she needs to dat slowly or she will vomit more.,0,pls need dat slowly vomit
So i asked how's anthony. Dad. And your bf,0,ask anthony dad bf
Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,0,get get colour lor one colour quite light e darker lor actually do style hair
Hmmm.still we dont have opener?,0,hmmm still dont opener
I'm fine. Hope you are also,0,fine hope also
Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,0,eh sorry leh din ur msg sad already lar watch tv still office
Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...,0,emigrate something ok maybe 30 bit hopeful
If india win or level series means this is record:),0,india win level series mean record
"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",0,hey sweet wonder moment might come want send file someone go yahoo connection suck remember set page go download format disc could tell know way download big file download stuff directly internet help would great prey tease kiss
"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",0,cant believe say many thing morning really want say good morning love beautiful morning see library later
